毒鼠强 【临床特点】经呼吸道或消化道黏膜迅速吸收后导致严重阵挛性惊厥和脑干刺激的癫痫大发作。【综合疗法】1、迅速洗胃、越早疗效越好；2.清水洗胃后胃管内注入:(1)活性炭50～100g吸附毒物(2)20%～30%硫酸镁导泻；3.保护心肌:静滴极化液，l,6二磷酸果糖和维生素B6；4、禁用阿片类药。【特效疗法】1、抗惊厥：推荐苯巴比妥和地西泮联用(1)地西泮每次10~20mg静注或50~100mg加入10%葡萄糖液250mg静滴，总量200mg(2)苯巴比妥钠0.1g，每6~12小时肌注，用1~3天(3)咖么-羟基丁酸钠60~80mg/(kg*h)静滴(4)异丙酚2~12mg/(kg*h)静滴(5)硫喷妥钠3mg/(kg*h)间断静注，直至抽搐停止(6)二巯基丙磺酸钠，0.125~0.25g每8小时一次，肌注，第1~2天；0.125每12小时一次，肌注，第3~4天；0.125每天一次，肌注，第5~7天。2、血液净化(血液灌流、血液透析、血浆置换)加速毒鼠强排出体外。
氟乙酰胺 【临床特点】潜伏期短，起病迅速，临床分三型，1、轻型：头痛、头晕、视力模糊、乏力、四肢麻木、抽动、口渴、呕吐、上腹痛；2、中型：除上述症状，尚有分泌物多、烦躁、呼吸困难、肢体痉挛、心肌损害、血压下降；3、重型：昏迷、惊厥、严重心律失常、瞳孔缩小、肠麻痹、二便失禁、心肺功能衰竭。【综合疗法】1、迅速洗胃、越早越好；2、1:5000高锰酸钾溶液或0.15%石灰水洗胃，使其氧化或转化为不易溶解的氟乙酰(酸)钙而减低毒性；3、活性炭：尽早应用活性炭；4、支持治疗：保护心肌、纠正心律失常；惊厥患者在控制抽搐同时应气管插管保护气道；昏迷患者考虑应用高压氧疗法。【特效疗法】1、特效解毒剂：乙酰胺每次2.5~5.0g肌注，3次/天；或按0.1~0.3g/(kg*d)计算总量，分3次肌注。重症患者，首次肌注剂量为全日量的1/2即10g，连用5~7天/疗程；2、血液净化(血液灌流、血液透析)：考虑用于重度中毒患者。
溴鼠隆 【临床特点】1、早期：恶心、呕吐、腹痛、低热、食欲不佳、情绪不好；2、中晚期:皮下广泛出血,血尿,鼻和牙龈出血,咯血,呕血,便血,心、脑、肺出血,休克。【综合疗法】1、立即清水洗胃，催吐，导泻；2、胃管内注入活性炭50~100g吸附毒物；3、胃管内注入20%~30%硫酸镁导泻。【特效疗法】1、特效对抗剂：根据疗效反应调整剂量(1)PT显著延长者：维生素K1，5~10mg肌注(成人或>12岁儿童)、1~5mg肌注(<12岁儿童)；(2)出血患者：初始剂量维生素K1，10~20mg(成人或>12岁儿童)、5mg肌注(<12岁儿童)，稀释后缓慢静脉注射，根据治疗反应重复剂量，或静滴维持；2、严重出血患者同时输新鲜冰冻血浆300~400ml。
磷化锌 【临床特点】1、轻者表现：胸闷、咳嗽、口咽/鼻咽发干和灼痛、呕吐、腹痛；2、重者表现：惊厥、抽搐、肌肉抽动、口腔黏膜糜烂、呕吐物有大蒜味；3、严重者表现：肺水肿、脑水肿、心律失常、昏迷、休克。【综合疗法】1、皮肤接触中毒：应更换衣服，清晰皮肤；2、吸入中毒：应立即转移患者，至于空气新鲜处；3、口服中毒：应考虑洗胃、导泻(1)洗胃前：应考虑控制抽搐和气道保护(2)洗胃：反复洗至无磷臭味、澄清液止。不常规推荐用0.2%硫酸铜溶液或1:5000高锰酸钾溶液洗胃(3)导泻：洗胃毕后立即导泻，用硫酸钠20~30g或石蜡油100ml口服导泻。禁用硫酸镁、蓖麻油及其他油类；4、对症支持治疗。【特效疗法】目前尚无特效疗法，临床主要以支持治疗和对症治疗为主。
强碱（浓硫酸，浓硝酸，浓盐酸） 表现：1、皮肤灼烧；2、吞服致口腔、消化道黏膜腐蚀、休克、食管或胃穿孔，后期食管狭窄。治疗：1皮肤冲洗；2避免洗胃；3饮牛奶、蛋清、氢氧化铝凝胶；4、抗休克，输液，止痛；5防止食管狭窄。
强碱 1，皮肤冲洗2，保护剂：牛奶、蛋清3，抗休克：输液，止痛。
汞 高浓度汞蒸气致口腔炎。脱离接触，应用DMPS或DMS.
镉(硫酸镉，氧化镉） 前者口服急性胃肠炎，后者吸入呼吸道刺激症状，重者4-10小时后肺水肿。1，中毒处理常规2，对症治疗3，吸入者，防治肺水肿。
钡（氯化钡） 急性胃肠炎，重者低钾血症、四肢瘫痪、呼吸麻痹、心律失常。1，洗胃2，硫酸钠克口服或10%硫酸钠10毫升缓慢静注，30分钟重复2，吸氧4，补钾5，机械通气。
砷化氢 吸入数小时至1-2天血红蛋白尿，贫血，重者2-3天肾衰。1早用解毒剂2，碱化尿液，防治肾衰。
甲醇 吸入眼、上呼吸道刺激现象，饮入胃肠炎、意识视力障碍、酸中毒。1纠正酸中毒：碳酸氢钠。
